timestamp,epoch,batch,loss,accuracy,learning_rate
2025-11-27T14:59:07.044910,0,1,7.032742500305176,0.0,0.001
2025-11-27T14:59:08.476011,0,2,5.502908229827881,2.34375,0.001
2025-11-27T14:59:09.888217,0,3,4.951545715332031,3.125,0.001
2025-11-27T14:59:11.375658,0,4,4.698282241821289,5.078125,0.001
2025-11-27T14:59:12.790196,0,5,5.068920612335205,4.375,0.001
2025-11-27T14:59:14.219241,0,6,4.426113605499268,4.427083333333333,0.001
2025-11-27T14:59:15.634419,0,7,4.106973648071289,3.794642857142857,0.001
2025-11-27T14:59:17.069027,0,8,4.034745216369629,4.1015625,0.001
2025-11-27T14:59:18.491357,0,9,3.9233005046844482,4.340277777777778,0.001
2025-11-27T14:59:19.909074,0,10,3.920907974243164,4.375,0.001
2025-11-27T14:59:21.334849,0,11,3.7527801990509033,4.119318181818182,0.001
2025-11-27T14:59:22.763967,0,12,4.412209510803223,4.166666666666667,0.001
2025-11-27T14:59:24.207467,0,13,4.025228500366211,4.206730769230769,0.001
2025-11-27T14:59:25.626454,0,14,4.113110542297363,4.241071428571429,0.001
2025-11-27T14:59:27.033700,0,15,4.109456539154053,4.166666666666667,0.001
